Reference; Value; Footprint; Datasheet
R13;0;Resistors_SMD:R_0603;
R17;0;Resistors_SMD:R_0603;
R3;1;Resistors_SMD:R_2512;
R38;1;Resistors_SMD:R_2512;
R39;1;Resistors_SMD:R_2512;
R40;1;Resistors_SMD:R_2512;
R41;1;Resistors_SMD:R_2512;
R42;1;Resistors_SMD:R_2512;
R43;1;Resistors_SMD:R_2512;
R44;1;Resistors_SMD:R_2512;
R45;1;Resistors_SMD:R_2512;
R46;1;Resistors_SMD:R_2512;
R47;1;Resistors_SMD:R_2512;
R48;1;Resistors_SMD:R_2512;
R49;1;Resistors_SMD:R_2512;
R50;1;Resistors_SMD:R_2512;
R51;1;Resistors_SMD:R_2512;
R7;1;Resistors_SMD:R_2512;
R14;100;Resistors_SMD:R_0603;
R16;100;Resistors_SMD:R_0603;
R20;100;Resistors_SMD:R_0603;
R21;100;Resistors_SMD:R_0603;
R27;100;Resistors_SMD:R_0603;
R28;100;Resistors_SMD:R_0603;
R29;100;Resistors_SMD:R_0603;
R30;100;Resistors_SMD:R_0603;
R15;470;Resistors_SMD:R_0603;
R35;470;Resistors_SMD:R_0603;
C36;0.01u;Capacitors_SMD:C_0603;
C37;0.01u;Capacitors_SMD:C_0603;
C10;0.1u;Capacitors_SMD:C_0603;
C11;0.1u;Capacitors_SMD:C_0603;
C12;0.1u;Capacitors_SMD:C_0603;
C13;0.1u;Capacitors_SMD:C_0603;
C14;0.1u;Capacitors_SMD:C_0603;
C15;0.1u;Capacitors_SMD:C_0603;
C17;0.1u;Capacitors_SMD:C_0603;
C18;0.1u;Capacitors_SMD:C_0603;
C2;0.1u;Capacitors_SMD:C_0603;
C20;0.1u;Capacitors_SMD:C_0603;
C23;0.1u;Capacitors_SMD:C_0603;
C24;0.1u;Capacitors_SMD:C_0603;
C31;0.1u;Capacitors_SMD:C_0603;
C32;0.1u;Capacitors_SMD:C_0603;
C33;0.1u;Capacitors_SMD:C_0603;
C34;0.1u;Capacitors_SMD:C_0603;
C35;0.1u;Capacitors_SMD:C_0603;
